iter	Logloss
0	0.6829714269
1	0.6729239464
2	0.6644387935
3	0.6569735525
4	0.6493154465
5	0.6433448113
6	0.6371936313
7	0.6318280069
8	0.6270916647
9	0.6225228369
10	0.6187472089
11	0.6154706449
12	0.6118925871
13	0.6088275084
14	0.6063276583
15	0.6041349022
16	0.6019224537
17	0.5995122016
18	0.5978756831
19	0.5964023046
20	0.5946758123
21	0.5932863748
22	0.5920353285
23	0.590716712
24	0.5901328858
25	0.5889078713
26	0.5879828713
27	0.5869882689
28	0.5858834034
29	0.584697819
30	0.583704471
31	0.5827451861
32	0.5820287205
33	0.5812895847
34	0.5806440754
35	0.5804461541
36	0.5799349475
37	0.5794257397
38	0.5790489522
39	0.5783736342
40	0.5779935589
41	0.5776154961
42	0.5771805145
43	0.5768156019
44	0.5765418771
45	0.5762713731
46	0.5760399433
47	0.5757727375
48	0.5754740533
49	0.5753080663
50	0.5751790181
51	0.5748913233
52	0.574654178
53	0.574461642
54	0.574251427
55	0.5739864586
56	0.5736873193
57	0.5735018502
58	0.5733269333
59	0.5731921202
60	0.5730099024
61	0.5727887724
62	0.5727881697
63	0.5727226223
64	0.5726657562
65	0.5725157935
66	0.5722936275
67	0.5721439044
68	0.5720646677
69	0.5718958143
70	0.5717642129
71	0.5714901618
72	0.5713287188
73	0.5713247325
74	0.5712059246
75	0.5711225381
76	0.5710372794
77	0.5708370641
78	0.5707942001
79	0.570692385
80	0.5705106778
81	0.570349361
82	0.5703154072
83	0.570222783
84	0.5700556194
85	0.5700376707
86	0.5700352227
87	0.5699547869
88	0.5698780764
89	0.5698543694
90	0.5698504914
91	0.5697562558
92	0.569727705
93	0.5696632881
94	0.5696092008
95	0.5694315844
96	0.5693009754
97	0.5692654464
98	0.5692522944
99	0.5692065837
100	0.5692017267
101	0.5690877764
102	0.5690273875
103	0.5690115784
104	0.5688975324
105	0.5688382676
106	0.5687964152
107	0.5687566661
108	0.5687539594
109	0.5687095894
110	0.5686445028
111	0.5685720423
112	0.5685415461
113	0.5685068214
114	0.5684652025
115	0.56842229
116	0.5684214832
117	0.5683139572
118	0.5681572491
119	0.5681303596
120	0.5681158082
121	0.5681096443
122	0.5680749589
123	0.5680135896
124	0.5678825632
125	0.5678479636
126	0.5677908517
127	0.5677757684
128	0.5677207727
129	0.5677049016
130	0.5676516243
131	0.567605575
132	0.5674181069
133	0.5673957316
134	0.5673575715
135	0.5673072483
136	0.5672774723
137	0.5672642278
138	0.5672648894
139	0.5672644149
140	0.5672637885
141	0.5671781268
142	0.5671222054
143	0.5671180962
144	0.5670960001
145	0.567046789
146	0.5669837534
147	0.5669536031
148	0.5669279923
149	0.5668702217
150	0.5668608388
151	0.5668315628
152	0.5668235972
153	0.5667428767
154	0.566708311
155	0.5666796529
156	0.5666667517
157	0.5665990938
158	0.5665935732
159	0.566531651
160	0.5665064976
161	0.5663863638
162	0.5663248441
163	0.5663008559
164	0.566300637
165	0.5662774395
166	0.5661988907
167	0.5661731748
168	0.5660667935
169	0.5660032943
170	0.5659130234
171	0.5658642636
172	0.5657855409
173	0.5657777547
174	0.5654806869
175	0.5653943487
176	0.5652758291
177	0.5652321925
178	0.5651102479
179	0.5650866659
180	0.5649480839
181	0.5648727594
182	0.5647825698
183	0.5647677893
184	0.564683792
185	0.5645267194
186	0.5644139109
187	0.5642808315
188	0.564182425
189	0.5641205528
190	0.5640943955
191	0.5639511442
192	0.5638424628
193	0.5637828678
194	0.5635746679
195	0.5634519476
196	0.5632258819
197	0.5631115309
198	0.5630216918
199	0.5629872196
