iter	Passed	Remaining
0	165	32860
1	168	16668
2	171	11265
3	174	8561
4	177	6929
5	180	5841
6	183	5060
7	186	4483
8	189	4027
9	192	3664
10	196	3369
11	199	3126
12	203	2920
13	206	2746
14	209	2588
15	213	2451
16	216	2329
17	219	2219
18	222	2121
19	225	2033
20	229	1952
21	233	1886
22	236	1816
23	239	1754
24	241	1690
25	244	1637
26	247	1588
27	250	1541
28	254	1498
29	257	1458
30	260	1420
31	263	1384
32	267	1351
33	270	1320
34	273	1290
35	275	1256
36	279	1229
37	282	1203
38	285	1177
39	288	1153
40	291	1128
41	294	1107
42	297	1085
43	300	1066
44	304	1047
45	307	1028
46	310	1010
47	313	993
48	316	976
49	319	959
50	322	941
51	325	925
52	328	910
53	331	897
54	334	882
55	337	868
56	341	856
57	344	843
58	347	831
59	351	820
60	355	810
61	358	798
62	361	785
63	363	772
64	366	760
65	370	752
66	374	743
67	377	733
68	380	723
69	384	713
70	387	703
71	390	694
72	393	685
73	396	674
74	399	665
75	402	656
76	406	648
77	409	639
78	411	630
79	414	622
80	418	614
81	421	606
82	424	597
83	427	589
84	430	582
85	433	574
86	435	565
87	438	558
88	441	551
89	445	544
90	448	536
91	451	529
92	454	522
93	457	516
94	461	510
95	464	503
96	467	496
97	470	489
98	473	482
99	475	475
100	477	468
101	481	462
102	484	455
103	487	449
104	490	443
105	493	437
106	496	431
107	499	425
108	502	419
109	505	413
110	508	407
111	511	401
112	514	395
113	517	390
114	519	384
115	523	378
116	525	372
117	528	367
118	531	361
119	534	356
120	537	350
121	540	345
122	543	340
123	546	334
124	549	329
125	553	324
126	556	319
127	558	314
128	562	309
129	564	304
130	568	299
131	571	294
132	574	289
133	577	284
134	580	279
135	583	274
136	587	269
137	589	264
138	591	259
139	593	254
140	595	249
141	598	244
142	601	239
143	604	235
144	607	230
145	610	225
146	614	221
147	617	217
148	621	212
149	624	208
150	626	203
151	628	198
152	631	194
153	635	189
154	638	185
155	642	181
156	645	176
157	649	172
158	651	168
159	655	163
160	657	159
161	661	155
162	664	150
163	667	146
164	669	142
165	672	137
166	675	133
167	678	129
168	681	125
169	685	120
170	688	116
171	691	112
172	695	108
173	697	104
174	701	100
175	704	96
176	707	91
177	710	87
178	714	83
179	716	79
180	720	75
181	723	71
182	726	67
183	729	63
184	733	59
185	736	55
186	739	51
187	742	47
188	745	43
189	748	39
190	751	35
191	754	31
192	757	27
193	760	23
194	763	19
195	767	15
196	770	11
197	773	7
198	776	3
199	780	0
