STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2007,2010,2012,2014,2016,2018,2023
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,CHN,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_IS,WB_LPI_SC,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,China,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: International Shipping,Metric: Score,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,3.31273,3.310056,3.462837,3.503218,3.704961,3.535715,3.6
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,LSO,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_CTMS,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Lesotho,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Customs,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,73.0,,143.0,129.0,151.0,110.0,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,ISL,LPI_CTMS,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Iceland,Logistics Performance Index (LPI): Customs and other border control component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,3.223333,3.533333,3.538461,3.128526,2.769231,3.7
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,COG,LPI_LOG,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,"Congo, Rep.",Logistics Performance Index (LPI): Quality of logistics services component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,101.0,141.0,146.0,133.0,127.0,65.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,NIC,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_LOG,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Nicaragua,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Logistics,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,92.0,114.0,,98.0,96.0,,76.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,MNG,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_SC_UB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Mongolia,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Score - Upper bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,2.447358,2.432583,2.620651,2.701836,2.576895,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,RWA,LPI_INF,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Rwanda,Logistics Performance Index (LPI): Trade- and transport-related infrastructure component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,1.53333,1.625,1.875,2.32197,2.621956,2.75505,2.9
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,PAN,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_RK_UB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Panama,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Rank - Upper bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,64.0,81.0,57.0,56.0,47.0,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,NZL,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_RK_HP,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,New Zealand,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Rank - Highest performer (%),Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,86.1402084521338,85.02730819245775,77.43073561982115,84.68630354489439,74.02431580980215,89.82334221682464,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,UKR,LPI_LOG,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Ukraine,Logistics Performance Index (LPI): Quality of logistics services component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,2.41176,2.587013,2.84786,2.840639,2.548983,2.842631,2.6
